Date/Time,%       Time,Hsig,Tm02,Dir,PkDir,Watlev,Hswell,Tp_smoothed,site,site_name,lon,lat,run
2021-06-24 00:00:00,20210624.0,1.37806,6.0729,100.572,117.5,-0.11,0.5853,9.6665,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 00:00:00,20210624.0,1.18829,5.7834,88.635,107.5,-0.11,0.49173,9.8494,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 00:00:00,20210624.0,1.24389,5.7341,84.826,97.5,-0.11,0.50619,9.8334,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 00:00:00,20210624.0,1.1117,5.4634,77.783,102.5,-0.11,0.39982,5.879,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 00:00:00,20210624.0,1.38941,5.9335,96.63,117.5,-0.11,0.57793,9.6512,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 01:00:00,20210624.01,1.37802,6.0753,100.555,117.5,-0.44,0.58526,9.6663,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 01:00:00,20210624.01,1.18796,5.7876,88.642,107.5,-0.44,0.49229,9.8507,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 01:00:00,20210624.01,1.24385,5.7373,84.747,97.5,-0.44,0.50644,9.8341,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 01:00:00,20210624.01,1.11095,5.4649,77.823,102.5,-0.44,0.40014,5.8754,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 01:00:00,20210624.01,1.38859,5.9445,96.652,117.5,-0.44,0.57793,9.6512,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 02:00:00,20210624.02,1.37572,6.0916,100.442,117.5,-0.69,0.58228,9.6629,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 02:00:00,20210624.02,1.18696,5.7966,88.716,107.5,-0.69,0.49311,9.8522,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 02:00:00,20210624.02,1.24347,5.7386,84.746,97.5,-0.69,0.50672,9.8347,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 02:00:00,20210624.02,1.10993,5.4758,77.866,102.5,-0.69,0.40065,5.8732,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 02:00:00,20210624.02,1.38501,5.9512,96.456,117.5,-0.69,0.57374,9.6447,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 03:00:00,20210624.03,1.37016,6.1054,99.274,117.5,-0.8,0.56955,9.6487,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 03:00:00,20210624.03,1.18633,5.8032,88.74,107.5,-0.8,0.49367,9.8537,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 03:00:00,20210624.03,1.24321,5.7416,84.742,97.5,-0.8,0.50685,9.835,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 03:00:00,20210624.03,1.10881,5.485,77.908,102.5,-0.8,0.40085,5.872,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 03:00:00,20210624.03,1.37827,5.9599,95.155,117.5,-0.8,0.55952,9.6143,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 04:00:00,20210624.04,1.36099,6.1206,97.265,122.5,-0.72,0.55176,9.6117,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 04:00:00,20210624.04,1.18517,5.8143,88.791,107.5,-0.72,0.49385,9.8554,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 04:00:00,20210624.04,1.24274,5.7467,84.767,97.5,-0.72,0.50678,9.835,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 04:00:00,20210624.04,1.10821,5.4964,77.93,102.5,-0.72,0.40071,5.8806,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 04:00:00,20210624.04,1.37615,5.9824,93.003,117.5,-0.72,0.54576,9.5858,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 05:00:00,20210624.05,1.35631,6.1388,95.345,117.5,-0.45,0.53963,9.584,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 05:00:00,20210624.05,1.18349,5.8294,88.819,107.5,-0.45,0.49224,9.8525,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 05:00:00,20210624.05,1.24231,5.7505,84.758,97.5,-0.45,0.50633,9.8342,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 05:00:00,20210624.05,1.11085,5.5117,77.813,102.5,-0.45,0.40019,5.9126,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 05:00:00,20210624.05,1.37132,5.966,90.629,117.5,-0.45,0.53189,9.548,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 06:00:00,20210624.06,1.34748,6.1433,93.285,117.5,-0.05,0.52508,9.532,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 06:00:00,20210624.06,1.18321,5.8393,88.663,107.5,-0.05,0.48763,9.8401,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 06:00:00,20210624.06,1.24241,5.7539,84.745,97.5,-0.05,0.50576,9.8335,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 06:00:00,20210624.06,1.11483,5.5273,77.647,102.5,-0.05,0.39947,5.9545,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 06:00:00,20210624.06,1.36655,5.9592,88.245,117.5,-0.05,0.51761,9.4889,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 07:00:00,20210624.07,1.33737,6.1256,91.219,117.5,0.4,0.51045,9.4467,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 07:00:00,20210624.07,1.1816,5.8473,88.204,107.5,0.4,0.47745,9.812,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 07:00:00,20210624.07,1.24485,5.7605,84.492,97.5,0.4,0.50484,9.8327,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 07:00:00,20210624.07,1.12615,5.5653,77.038,102.5,0.4,0.39561,6.076,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 07:00:00,20210624.07,1.36228,5.9285,85.823,117.5,0.4,0.50317,9.4001,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 08:00:00,20210624.08,1.33212,6.0722,88.769,117.5,0.81,0.49691,9.3839,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 08:00:00,20210624.08,1.17968,5.8639,87.465,107.5,0.81,0.46504,9.7803,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 08:00:00,20210624.08,1.24776,5.7643,84.236,97.5,0.81,0.50412,9.8326,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 08:00:00,20210624.08,1.13616,5.6004,76.33,102.5,0.81,0.39084,6.1636,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 08:00:00,20210624.08,1.36158,5.8639,82.877,47.5,0.81,0.48918,9.3369,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 09:00:00,20210624.09,1.33049,5.9998,85.834,47.5,1.08,0.48318,9.3268,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 09:00:00,20210624.09,1.17839,5.882,86.51,107.5,1.08,0.45364,9.7493,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 09:00:00,20210624.09,1.2555,5.7755,83.664,97.5,1.08,0.5037,9.832,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
2021-06-24 09:00:00,20210624.09,1.14041,5.6175,75.929,102.5,1.08,0.38778,6.2021,3, Palm Beach WRB,153.48481,-28.09982,20210624_0000
2021-06-24 09:00:00,20210624.09,1.36027,5.8166,79.989,42.5,1.08,0.47567,6.4284,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_0000
2021-06-24 10:00:00,20210624.1,1.32573,5.9455,83.028,47.5,1.16,0.46922,6.4892,0, Brisbane WRB,153.6315552,-27.48715254,20210624_0000
2021-06-24 10:00:00,20210624.1,1.17544,5.8952,85.491,107.5,1.16,0.44243,6.4081,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_0000
2021-06-24 10:00:00,20210624.1,1.26665,5.7922,82.96,97.5,1.16,0.50348,9.8295,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_0000
