Date/Time,%       Time,Hsig,Tm02,Dir,PkDir,Watlev,Hswell,Tp_smoothed,site,site_name,lon,lat,run
2021-01-01 00:00:00,20210101.0,1.56653,5.9332,86.157,87.5,0.86,0.17215,7.4409,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 00:00:00,20210101.0,1.42091,5.834,86.885,87.5,0.86,0.15517,7.4317,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 00:00:00,20210101.0,1.50267,5.7205,87.667,82.5,0.86,0.16343,7.4277,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 00:00:00,20210101.0,1.40545,5.9151,80.579,82.5,0.86,0.14708,7.421,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 00:00:00,20210101.0,1.62415,5.4745,92.122,87.5,0.86,0.16933,7.4375,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 01:00:00,20210101.01,1.57099,5.953,86.2,87.5,0.68,0.18161,7.4617,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 01:00:00,20210101.01,1.42074,5.8338,86.879,87.5,0.68,0.15544,7.4321,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 01:00:00,20210101.01,1.50243,5.7197,87.642,82.5,0.68,0.16353,7.428,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 01:00:00,20210101.01,1.4051,5.9155,80.57,82.5,0.68,0.14723,7.4212,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 01:00:00,20210101.01,1.6237,5.4786,92.092,87.5,0.68,0.16942,7.4377,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 02:00:00,20210101.02,1.58454,6.018,86.075,87.5,0.36,0.2098,7.525,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 02:00:00,20210101.02,1.42002,5.8321,86.904,87.5,0.36,0.1565,7.4338,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 02:00:00,20210101.02,1.50158,5.7147,87.602,82.5,0.36,0.16362,7.4283,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 02:00:00,20210101.02,1.40376,5.9099,80.556,82.5,0.36,0.14752,7.4218,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 02:00:00,20210101.02,1.64677,5.5568,91.195,82.5,0.36,0.205,7.5163,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 03:00:00,20210101.03,1.58447,6.1087,84.764,82.5,0.0,0.2497,7.6359,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 03:00:00,20210101.03,1.41986,5.8331,86.951,87.5,0.0,0.15874,7.4373,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 03:00:00,20210101.03,1.5004,5.7169,87.506,82.5,0.0,0.16376,7.4287,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 03:00:00,20210101.03,1.40337,5.9056,80.528,82.5,0.0,0.14919,7.4242,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 03:00:00,20210101.03,1.67153,5.7134,89.229,82.5,0.0,0.2529,7.6353,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 04:00:00,20210101.04,1.58505,6.2214,82.126,77.5,-0.32,0.29189,7.8924,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 04:00:00,20210101.04,1.42951,5.8742,86.938,87.5,-0.32,0.18429,7.4817,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 04:00:00,20210101.04,1.49683,5.7392,87.207,82.5,-0.32,0.16381,7.4292,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 04:00:00,20210101.04,1.40884,5.9277,80.327,82.5,-0.32,0.16223,7.4485,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 04:00:00,20210101.04,1.68284,5.9153,84.287,72.5,-0.32,0.31006,8.0016,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 05:00:00,20210101.05,1.6035,6.3653,79.155,72.5,-0.55,0.3391,8.1826,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 05:00:00,20210101.05,1.43733,5.9314,86.715,87.5,-0.55,0.21394,7.5443,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 05:00:00,20210101.05,1.49407,5.767,86.966,82.5,-0.55,0.16417,7.4299,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 05:00:00,20210101.05,1.42442,5.9942,79.882,82.5,-0.55,0.1925,7.506,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 05:00:00,20210101.05,1.68044,6.1149,80.106,72.5,-0.55,0.35183,8.2122,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 06:00:00,20210101.06,1.63758,6.5033,76.786,72.5,-0.63,0.38511,8.2914,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 06:00:00,20210101.06,1.44197,6.0052,86.078,87.5,-0.63,0.25041,7.6654,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 06:00:00,20210101.06,1.49252,5.8027,86.668,82.5,-0.63,0.16781,7.4376,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 06:00:00,20210101.06,1.45019,6.1042,78.964,77.5,-0.63,0.23814,7.6248,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 06:00:00,20210101.06,1.69623,6.2991,76.988,72.5,-0.63,0.39483,8.3064,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 07:00:00,20210101.07,1.6719,6.6217,75.067,72.5,-0.57,0.42993,8.3743,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 07:00:00,20210101.07,1.44542,6.0888,85.095,82.5,-0.57,0.28702,7.9589,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 07:00:00,20210101.07,1.49625,5.8553,86.306,82.5,-0.57,0.18202,7.4679,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 07:00:00,20210101.07,1.47607,6.2203,77.682,72.5,-0.57,0.28176,7.8952,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 07:00:00,20210101.07,1.71809,6.4604,74.738,72.5,-0.57,0.43701,8.383,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 08:00:00,20210101.08,1.70363,6.731,73.922,72.5,-0.39,0.47745,8.4831,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 08:00:00,20210101.08,1.45513,6.1879,83.948,82.5,-0.39,0.32573,8.1871,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 08:00:00,20210101.08,1.5027,5.9314,85.548,77.5,-0.39,0.21109,7.5323,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 08:00:00,20210101.08,1.5004,6.3289,76.22,72.5,-0.39,0.32238,8.1617,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 08:00:00,20210101.08,1.74086,6.6134,73.179,72.5,-0.39,0.48505,8.4999,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 09:00:00,20210101.09,1.7252,6.8268,72.94,72.5,-0.15,0.52224,8.693,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 09:00:00,20210101.09,1.47083,6.2664,83.073,82.5,-0.15,0.35469,8.276,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 09:00:00,20210101.09,1.50616,6.0315,83.692,77.5,-0.15,0.25018,7.6556,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 09:00:00,20210101.09,1.52323,6.4138,74.981,67.5,-0.15,0.35552,8.2613,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 09:00:00,20210101.09,1.76849,6.7644,71.783,67.5,-0.15,0.54262,8.8027,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 10:00:00,20210101.1,1.72913,6.9018,71.48,67.5,0.07,0.55444,8.8994,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 10:00:00,20210101.1,1.49388,6.3983,81.906,82.5,0.07,0.4077,8.4242,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 10:00:00,20210101.1,1.5186,6.1497,80.968,72.5,0.07,0.29119,7.9165,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 10:00:00,20210101.1,1.54333,6.5103,73.758,67.5,0.07,0.39577,8.3626,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 10:00:00,20210101.1,1.77647,6.868,70.131,67.5,0.07,0.57459,8.9432,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 11:00:00,20210101.11,1.74777,6.9751,70.636,67.5,0.21,0.58613,8.9868,0, Brisbane WRB,153.6315552,-27.48715254,20210101_0000
2021-01-01 11:00:00,20210101.11,1.51061,6.4871,81.011,77.5,0.21,0.44115,8.5674,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_0000
2021-01-01 11:00:00,20210101.11,1.54191,6.2811,78.223,72.5,0.21,0.33549,8.1689,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_0000
2021-01-01 11:00:00,20210101.11,1.56555,6.6071,72.689,67.5,0.21,0.4407,8.5033,3, Palm Beach WRB,153.48481,-28.09982,20210101_0000
2021-01-01 11:00:00,20210101.11,1.78881,6.9518,68.755,67.5,0.21,0.60158,9.0072,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_0000
2021-01-01 12:00:00,20210101.12,1.76457,7.0953,69.6,67.5,0.86,0.61096,9.0298,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 12:00:00,20210101.12,1.48821,6.4594,79.903,82.5,0.86,0.41001,8.4399,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 12:00:00,20210101.12,1.56281,6.1025,77.739,77.5,0.86,0.26515,7.6373,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 12:00:00,20210101.12,1.57342,6.5108,72.923,67.5,0.86,0.41372,8.3957,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
